"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
228,Fall 2010,Honolulu Community College,"45-59 yrs"
106,Fall 2010,Kaua`i Community College,"45-59 yrs"
3557,Fall 2011,University of Hawai`i at Manoa,"25-29 yrs"
1406,Fall 2011,University of Hawai`i at Manoa,"35-44 yrs"
247,Fall 2011,Honolulu Community College,"45-59 yrs"
159,Fall 2011,University of Hawai`i at Hilo,"45-59 yrs"
102,Fall 2011,Kaua`i Community College,"35-44 yrs"
605,Fall 2012,Kapi`olani Community College,"35-44 yrs"
348,Fall 2012,University of Hawai`i - West O`ahu,"25-29 yrs"
166,Fall 2012,Kaua`i Community College,"25-29 yrs"
132,Fall 2012,Kaua`i Community College,"35-44 yrs"
21,Fall 2012,University of Hawai`i - West O`ahu,"60+ yrs"
3793,Fall 2013,University of Hawai`i at Manoa,"18-19 yrs"
267,Fall 2013,University of Hawai`i at Hilo,"35-44 yrs"
1249,Fall 2013,Leeward Community College,"22-24 yrs"
475,Fall 2013,Windward Community College,"22-24 yrs"
706,Fall 2013,Honolulu Community College,"25-29 yrs"
398,Fall 2013,University of Hawai`i - West O`ahu,"25-29 yrs"
1617,Fall 2013,Leeward Community College,"20-21 yrs"
502,Fall 2013,Windward Community College,"20-21 yrs"
119,Fall 2013,Windward Community College,<18 yrs
302,Fall 2021,Honolulu Community College,<18 yrs
393,Fall 2021,Hawai`i Community College,<18 yrs
519,Fall 2021,Windward Community College,"18-19 yrs"
1241,Fall 2010,Leeward Community College,"22-24 yrs"
633,Fall 2010,University of Hawai`i at Hilo,"25-29 yrs"
18,Fall 2010,University of Hawai`i - West O`ahu,"60+ yrs"
159,Fall 2010,University of Hawai`i - West O`ahu,"45-59 yrs"
169,Fall 2010,Windward Community College,"45-59 yrs"
1998,Fall 2010,Kapi`olani Community College,"18-19 yrs"
570,Fall 2011,University of Hawai`i Maui College,"22-24 yrs"
2120,Fall 2011,Leeward Community College,"18-19 yrs"
352,Fall 2012,Hawai`i Community College,"35-44 yrs"
120,Fall 2012,Windward Community College,<18 yrs
45,Fall 2012,Kapi`olani Community College,"60+ yrs"
314,Fall 2013,Kapi`olani Community College,<18 yrs
372,Fall 2013,Leeward Community College,"45-59 yrs"
435,Fall 2013,University of Hawai`i Maui College,"35-44 yrs"
214,Fall 2013,University of Hawai`i - West O`ahu,"30-34 yrs"
221,Fall 2013,Kaua`i Community College,"20-21 yrs"
218,Fall 2021,Windward Community College,"22-24 yrs"
793,Fall 2022,Kapi`olani Community College,"25-29 yrs"
486,Fall 2022,University of Hawai`i - West O`ahu,"20-21 yrs"
325,Fall 2022,Kaua`i Community College,"18-19 yrs"
376,Fall 2022,University of Hawai`i - West O`ahu,<18 yrs
1333,Fall 2014,University of Hawai`i at Manoa,"35-44 yrs"
444,Fall 2014,Windward Community College,"22-24 yrs"
189,Fall 2014,Honolulu Community College,<18 yrs
659,Fall 2014,Honolulu Community College,"25-29 yrs"
352,Fall 2014,Leeward Community College,"45-59 yrs"
1320,Fall 2015,University of Hawai`i at Manoa,"35-44 yrs"
167,Fall 2015,Kaua`i Community College,"22-24 yrs"
277,Fall 2015,University of Hawai`i - West O`ahu,"35-44 yrs"
408,Fall 2016,University of Hawai`i at Manoa,<18 yrs
687,Fall 2016,Hawai`i Community College,"18-19 yrs"
195,Fall 2016,Honolulu Community College,"45-59 yrs"
283,Fall 2016,University of Hawai`i Maui College,"35-44 yrs"
32,Fall 2016,University of Hawai`i - West O`ahu,"60+ yrs"
58,Fall 2016,Kaua`i Community College,"45-59 yrs"
209,Fall 2017,Hawai`i Community College,"30-34 yrs"
37,Fall 2017,University of Hawai`i at Hilo,"60+ yrs"
379,Fall 2017,Windward Community College,"22-24 yrs"
372,Fall 2017,University of Hawai`i Maui College,"25-29 yrs"
1519,Fall 2017,Kapi`olani Community College,"20-21 yrs"
520,Fall 2017,Windward Community College,"18-19 yrs"
195,Fall 2017,University of Hawai`i - West O`ahu,"45-59 yrs"
593,Fall 2018,University of Hawai`i at Manoa,"45-59 yrs"
471,Fall 2018,Kapi`olani Community College,"30-34 yrs"
232,Fall 2018,University of Hawai`i at Hilo,"35-44 yrs"
50,Fall 2018,Kaua`i Community College,"45-59 yrs"
510,Fall 2018,Honolulu Community College,"22-24 yrs"
608,Fall 2018,University of Hawai`i - West O`ahu,"22-24 yrs"
121,Fall 2018,University of Hawai`i at Hilo,"45-59 yrs"
492,Fall 2018,University of Hawai`i Maui College,<18 yrs
48,Fall 2021,Kapi`olani Community College,"60+ yrs"
264,Fall 2019,University of Hawai`i - West O`ahu,"35-44 yrs"
115,Fall 2019,Kaua`i Community College,"25-29 yrs"
705,Fall 2019,University of Hawai`i at Hilo,"20-21 yrs"
122,Fall 2019,Hawai`i Community College,"45-59 yrs"
735,Fall 2019,University of Hawai`i Maui College,"18-19 yrs"
1065,Fall 2020,Kapi`olani Community College,"22-24 yrs"
3290,Fall 2020,University of Hawai`i at Manoa,"22-24 yrs"
102,Fall 2020,Windward Community College,"45-59 yrs"
1413,Fall 2020,Kapi`olani Community College,"18-19 yrs"
637,Fall 2020,Leeward Community College,<18 yrs
254,Fall 2024,Kapi`olani Community College,"45-59 yrs"
258,Fall 2024,Honolulu Community College,"35-44 yrs"
1271,Fall 2024,Kapi`olani Community College,"20-21 yrs"
174,Fall 2023,Windward Community College,"45-59 yrs"
55,Fall 2023,University of Hawai`i Maui College,"60+ yrs"
81,Fall 2023,Windward Community College,"60+ yrs"
146,Fall 2023,University of Hawai`i at Hilo,"30-34 yrs"
185,Fall 2023,Hawai`i Community College,"25-29 yrs"
730,Fall 2023,Kapi`olani Community College,"25-29 yrs"
673,Fall 2023,Windward Community College,<18 yrs
336,Fall 2023,University of Hawai`i - West O`ahu,<18 yrs
2,Fall 2015,Hawai`i Community College,No Data
1,Fall 2021,Honolulu Community College,No Data
1532,Fall 2010,Kapi`olani Community College,"25-29 yrs"
273,Fall 2010,University of Hawai`i - West O`ahu,"25-29 yrs"
500,Fall 2010,Maui College,"35-44 yrs"
557,Fall 2011,Leeward Community College,"35-44 yrs"
193,Fall 2011,Kaua`i Community College,"22-24 yrs"
157,Fall 2011,University of Hawai`i - West O`ahu,"45-59 yrs"
550,Fall 2011,University of Hawai`i Maui College,"35-44 yrs"
28,Fall 2011,Honolulu Community College,"60+ yrs"
473,Fall 2012,Hawai`i Community College,"22-24 yrs"
305,Fall 2012,Kapi`olani Community College,"45-59 yrs"
156,Fall 2012,Windward Community College,"45-59 yrs"
62,Fall 2012,Hawai`i Community College,"60+ yrs"
336,Fall 2013,Hawai`i Community College,"35-44 yrs"
239,Fall 2013,Honolulu Community College,"45-59 yrs"
169,Fall 2013,University of Hawai`i - West O`ahu,"45-59 yrs"
555,Fall 2013,Kapi`olani Community College,"35-44 yrs"
155,Fall 2013,Kaua`i Community College,<18 yrs
413,Fall 2013,Honolulu Community College,"30-34 yrs"
323,Fall 2021,Leeward Community College,"45-59 yrs"
2582,Fall 2021,University of Hawai`i at Manoa,"25-29 yrs"
1279,Fall 2021,University of Hawai`i at Manoa,"30-34 yrs"
526,Fall 2021,University of Hawai`i Maui College,<18 yrs
109,Fall 2021,Kaua`i Community College,"25-29 yrs"
212,Fall 2021,Hawai`i Community College,"35-44 yrs"
31,Fall 2021,University of Hawai`i at Hilo,"60+ yrs"
570,Fall 2022,University of Hawai`i - West O`ahu,"22-24 yrs"
240,Fall 2022,Windward Community College,"22-24 yrs"
5341,Fall 2022,University of Hawai`i at Manoa,"18-19 yrs"
38,Fall 2022,Kapi`olani Community College,"60+ yrs"
121,Fall 2022,Kaua`i Community College,"22-24 yrs"
242,Fall 2022,Honolulu Community College,"35-44 yrs"
24,Fall 2022,University of Hawai`i at Hilo,"60+ yrs"
145,Fall 2013,Kaua`i Community College,"35-44 yrs"
299,Fall 2014,Kapi`olani Community College,<18 yrs
763,Fall 2014,Honolulu Community College,"20-21 yrs"
58,Fall 2014,Hawai`i Community College,"60+ yrs"
139,Fall 2014,Kaua`i Community College,"35-44 yrs"
261,Fall 2015,Hawai`i Community College,"30-34 yrs"
425,Fall 2015,University of Hawai`i - West O`ahu,"20-21 yrs"
445,Fall 2015,Hawai`i Community College,"20-21 yrs"
100,Fall 2015,University of Hawai`i at Manoa,"60+ yrs"
453,Fall 2016,University of Hawai`i - West O`ahu,"20-21 yrs"
450,Fall 2016,University of Hawai`i - West O`ahu,"25-29 yrs"
464,Fall 2016,University of Hawai`i Maui College,<18 yrs
265,Fall 2016,Kapi`olani Community College,"45-59 yrs"
463,Fall 2016,Kapi`olani Community College,"35-44 yrs"
160,Fall 2017,Windward Community College,"30-34 yrs"
863,Fall 2017,Leeward Community College,"25-29 yrs"
598,Fall 2017,University of Hawai`i - West O`ahu,"22-24 yrs"
443,Fall 2017,Windward Community College,"20-21 yrs"
755,Fall 2017,University of Hawai`i at Hilo,"20-21 yrs"
738,Fall 2017,University of Hawai`i Maui College,"18-19 yrs"
270,Fall 2017,Kaua`i Community College,<18 yrs
484,Fall 2018,University of Hawai`i at Hilo,"25-29 yrs"
1356,Fall 2018,Kapi`olani Community College,"20-21 yrs"
339,Fall 2018,Kaua`i Community College,"18-19 yrs"
