"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
453,Fall 2012,Windward Community College,"22-24 yrs"
345,Fall 2012,University of Hawai`i - West O`ahu,"18-19 yrs"
464,Fall 2012,University of Hawai`i Maui College,"35-44 yrs"
1402,Fall 2012,Kapi`olani Community College,"25-29 yrs"
209,Fall 2012,University of Hawai`i - West O`ahu,"35-44 yrs"
26,Fall 2012,Honolulu Community College,"60+ yrs"
277,Fall 2013,Hawai`i Community College,"45-59 yrs"
799,Fall 2013,Honolulu Community College,"20-21 yrs"
277,Fall 2021,University of Hawai`i Maui College,"22-24 yrs"
553,Fall 2021,Kapi`olani Community College,"30-34 yrs"
342,Fall 2021,Windward Community College,"20-21 yrs"
768,Fall 2021,University of Hawai`i at Hilo,"18-19 yrs"
1290,Fall 2021,University of Hawai`i at Manoa,"35-44 yrs"
479,Fall 2021,Honolulu Community College,"25-29 yrs"
921,Fall 2021,Kapi`olani Community College,"25-29 yrs"
387,Fall 2021,University of Hawai`i Maui College,"20-21 yrs"
194,Fall 2021,Hawai`i Community College,"30-34 yrs"
24,Fall 2021,Kaua`i Community College,"60+ yrs"
187,Fall 2022,Kaua`i Community College,"20-21 yrs"
528,Fall 2022,Windward Community College,<18 yrs
165,Fall 2022,Hawai`i Community College,"35-44 yrs"
62,Fall 2013,Leeward Community College,"60+ yrs"
4335,Fall 2014,University of Hawai`i at Manoa,"22-24 yrs"
1806,Fall 2014,Kapi`olani Community College,"18-19 yrs"
211,Fall 2014,University of Hawai`i - West O`ahu,<18 yrs
717,Fall 2014,Honolulu Community College,"22-24 yrs"
113,Fall 2014,Kaua`i Community College,"45-59 yrs"
252,Fall 2014,University of Hawai`i - West O`ahu,"30-34 yrs"
26,Fall 2014,University of Hawai`i - West O`ahu,"60+ yrs"
4074,Fall 2015,University of Hawai`i at Manoa,"22-24 yrs"
595,Fall 2015,University of Hawai`i at Hilo,"25-29 yrs"
555,Fall 2015,Leeward Community College,"35-44 yrs"
202,Fall 2015,Windward Community College,"30-34 yrs"
1481,Fall 2015,Leeward Community College,"20-21 yrs"
325,Fall 2015,University of Hawai`i Maui College,"45-59 yrs"
97,Fall 2016,Kaua`i Community College,"35-44 yrs"
899,Fall 2016,Leeward Community College,"25-29 yrs"
3841,Fall 2016,University of Hawai`i at Manoa,"22-24 yrs"
217,Fall 2016,Hawai`i Community College,"30-34 yrs"
325,Fall 2016,Kapi`olani Community College,<18 yrs
35,Fall 2016,Honolulu Community College,"60+ yrs"
1350,Fall 2017,University of Hawai`i at Manoa,"30-34 yrs"
2779,Fall 2017,University of Hawai`i at Manoa,"25-29 yrs"
190,Fall 2017,Windward Community College,"35-44 yrs"
593,Fall 2017,Honolulu Community College,"20-21 yrs"
144,Fall 2017,University of Hawai`i at Hilo,<18 yrs
194,Fall 2018,Hawai`i Community College,"30-34 yrs"
50,Fall 2018,Leeward Community College,"60+ yrs"
164,Fall 2019,Windward Community College,"35-44 yrs"
89,Fall 2019,Kaua`i Community College,"35-44 yrs"
181,Fall 2019,University of Hawai`i Maui College,"45-59 yrs"
37,Fall 2019,Honolulu Community College,"60+ yrs"
304,Fall 2019,Windward Community College,"22-24 yrs"
1144,Fall 2019,Leeward Community College,"20-21 yrs"
122,Fall 2019,Kaua`i Community College,"22-24 yrs"
786,Fall 2019,Leeward Community College,<18 yrs
176,Fall 2019,University of Hawai`i - West O`ahu,"45-59 yrs"
104,Fall 2020,University of Hawai`i at Hilo,"45-59 yrs"
303,Fall 2020,University of Hawai`i Maui College,"25-29 yrs"
830,Fall 2020,Leeward Community College,"25-29 yrs"
1060,Fall 2020,Leeward Community College,"20-21 yrs"
335,Fall 2020,Honolulu Community College,"30-34 yrs"
30,Fall 2020,Honolulu Community College,"60+ yrs"
3,Fall 2018,Hawai`i Community College,No Data
27,Fall 2024,Honolulu Community College,"60+ yrs"
260,Fall 2024,Windward Community College,"35-44 yrs"
229,Fall 2024,Windward Community College,"25-29 yrs"
778,Fall 2024,Leeward Community College,"22-24 yrs"
636,Fall 2024,University of Hawai`i at Hilo,"18-19 yrs"
102,Fall 2023,Honolulu Community College,"45-59 yrs"
310,Fall 2023,University of Hawai`i - West O`ahu,"35-44 yrs"
269,Fall 2023,Hawai`i Community College,"20-21 yrs"
514,Fall 2023,Hawai`i Community College,"18-19 yrs"
599,Fall 2023,University of Hawai`i at Manoa,<18 yrs
3,Fall 2022,Honolulu Community College,No Data
1,Fall 2012,University of Hawai`i at Manoa,No Data
1414,Fall 2010,University of Hawai`i at Manoa,"35-44 yrs"
918,Fall 2010,Leeward Community College,"25-29 yrs"
60,Fall 2010,Maui College,"60+ yrs"
340,Fall 2010,Hawai`i Community College,"35-44 yrs"
370,Fall 2010,Honolulu Community College,"35-44 yrs"
101,Fall 2010,University of Hawai`i at Manoa,"60+ yrs"
3557,Fall 2010,University of Hawai`i at Manoa,"18-19 yrs"
187,Fall 2010,Kaua`i Community College,"22-24 yrs"
1,Fall 2010,Leeward Community College,No Data
325,Fall 2011,Hawai`i Community College,"35-44 yrs"
500,Fall 2011,Windward Community College,"20-21 yrs"
632,Fall 2011,University of Hawai`i Maui College,"25-29 yrs"
900,Fall 2011,Hawai`i Community College,"18-19 yrs"
1430,Fall 2012,University of Hawai`i at Manoa,"35-44 yrs"
313,Fall 2012,Hawai`i Community College,"30-34 yrs"
720,Fall 2012,Kapi`olani Community College,"30-34 yrs"
208,Fall 2012,University of Hawai`i - West O`ahu,"30-34 yrs"
47,Fall 2012,Kaua`i Community College,"60+ yrs"
156,Fall 2013,University of Hawai`i - West O`ahu,<18 yrs
381,Fall 2013,Kaua`i Community College,"18-19 yrs"
3504,Fall 2021,University of Hawai`i at Manoa,"22-24 yrs"
216,Fall 2021,University of Hawai`i Maui College,"30-34 yrs"
614,Fall 2021,University of Hawai`i Maui College,"18-19 yrs"
198,Fall 2022,University of Hawai`i Maui College,"35-44 yrs"
547,Fall 2022,University of Hawai`i at Manoa,<18 yrs
278,Fall 2022,University of Hawai`i - West O`ahu,"35-44 yrs"
499,Fall 2022,Kapi`olani Community College,"35-44 yrs"
250,Fall 2022,University of Hawai`i - West O`ahu,"30-34 yrs"
123,Fall 2022,University of Hawai`i at Manoa,"60+ yrs"
605,Fall 2014,Windward Community College,"18-19 yrs"
546,Fall 2014,Leeward Community College,<18 yrs
426,Fall 2014,University of Hawai`i - West O`ahu,"25-29 yrs"
1218,Fall 2014,Kapi`olani Community College,"25-29 yrs"
264,Fall 2014,University of Hawai`i Maui College,<18 yrs
496,Fall 2014,Hawai`i Community College,"20-21 yrs"
369,Fall 2014,Hawai`i Community College,"22-24 yrs"
788,Fall 2014,University of Hawai`i at Hilo,"18-19 yrs"
129,Fall 2014,Windward Community College,<18 yrs
207,Fall 2014,Windward Community College,"35-44 yrs"
469,Fall 2014,Windward Community College,"20-21 yrs"
911,Fall 2014,Leeward Community College,"25-29 yrs"
408,Fall 2014,University of Hawai`i Maui College,"35-44 yrs"
270,Fall 2014,Hawai`i Community College,"30-34 yrs"
185,Fall 2014,Kaua`i Community College,"22-24 yrs"
729,Fall 2015,Honolulu Community College,"22-24 yrs"
261,Fall 2015,University of Hawai`i at Hilo,"30-34 yrs"
354,Fall 2015,University of Hawai`i Maui College,<18 yrs
337,Fall 2016,Hawai`i Community College,"22-24 yrs"
1107,Fall 2016,Leeward Community College,"22-24 yrs"
663,Fall 2016,Honolulu Community College,"20-21 yrs"
464,Fall 2016,University of Hawai`i - West O`ahu,"18-19 yrs"
594,Fall 2016,University of Hawai`i - West O`ahu,"22-24 yrs"
327,Fall 2016,Honolulu Community College,"35-44 yrs"
377,Fall 2016,Hawai`i Community College,"25-29 yrs"
140,Fall 2016,University of Hawai`i at Hilo,<18 yrs
444,Fall 2017,University of Hawai`i - West O`ahu,"25-29 yrs"
316,Fall 2017,University of Hawai`i - West O`ahu,"35-44 yrs"
201,Fall 2017,Kaua`i Community College,"20-21 yrs"
62,Fall 2017,Kaua`i Community College,"45-59 yrs"
49,Fall 2018,Windward Community College,"60+ yrs"
441,Fall 2018,Leeward Community College,"30-34 yrs"
69,Fall 2018,Kaua`i Community College,"30-34 yrs"
1241,Fall 2018,Leeward Community College,"20-21 yrs"
372,Fall 2018,Windward Community College,"20-21 yrs"
192,Fall 2018,University of Hawai`i at Hilo,<18 yrs
85,Fall 2018,Kaua`i Community College,"35-44 yrs"
6,Fall 2018,University of Hawai`i at Manoa,No Data
2,Fall 2022,University of Hawai`i Maui College,No Data
1,Fall 2013,University of Hawai`i at Manoa,No Data
2,Fall 2017,University of Hawai`i Maui College,No Data
27,Fall 2018,University of Hawai`i - West O`ahu,"60+ yrs"
1272,Fall 2019,University of Hawai`i at Manoa,"35-44 yrs"
178,Fall 2019,Windward Community College,"30-34 yrs"
109,Fall 2019,University of Hawai`i at Manoa,"60+ yrs"
282,Fall 2019,Windward Community College,"25-29 yrs"
299,Fall 2019,University of Hawai`i Maui College,"22-24 yrs"
3924,Fall 2019,University of Hawai`i at Manoa,"18-19 yrs"
2573,Fall 2020,University of Hawai`i at Manoa,"25-29 yrs"
145,Fall 2020,Kaua`i Community College,"22-24 yrs"
86,Fall 2020,Kaua`i Community College,"30-34 yrs"
541,Fall 2020,University of Hawai`i Maui College,<18 yrs
189,Fall 2020,University of Hawai`i Maui College,"45-59 yrs"
221,Fall 2024,University of Hawai`i Maui College,"35-44 yrs"
788,Fall 2024,Kapi`olani Community College,"25-29 yrs"
262,Fall 2024,University of Hawai`i Maui College,"22-24 yrs"
294,Fall 2024,Kaua`i Community College,"18-19 yrs"
243,Fall 2023,University of Hawai`i Maui College,"35-44 yrs"
178,Fall 2023,Hawai`i Community College,"30-34 yrs"
623,Fall 2023,Leeward Community College,"25-29 yrs"
534,Fall 2023,University of Hawai`i - West O`ahu,"22-24 yrs"
539,Fall 2023,Honolulu Community College,"20-21 yrs"
5450,Fall 2023,University of Hawai`i at Manoa,"18-19 yrs"
1,Fall 2013,Honolulu Community College,No Data
1,Fall 2018,University of Hawai`i at Hilo,No Data
1,Fall 2014,Hawai`i Community College,No Data
4557,Fall 2010,University of Hawai`i at Manoa,"22-24 yrs"
543,Fall 2010,Maui College,"22-24 yrs"
601,Fall 2010,Maui College,"25-29 yrs"
766,Fall 2010,Honolulu Community College,"25-29 yrs"
312,Fall 2010,University of Hawai`i - West O`ahu,"22-24 yrs"
778,Fall 2010,Honolulu Community College,"22-24 yrs"
384,Fall 2010,Kaua`i Community College,"18-19 yrs"
556,Fall 2011,Leeward Community College,"30-34 yrs"
217,Fall 2011,Windward Community College,"30-34 yrs"
24,Fall 2011,University of Hawai`i - West O`ahu,"60+ yrs"
1861,Fall 2011,Kapi`olani Community College,"18-19 yrs"
355,Fall 2011,Kaua`i Community College,"18-19 yrs"
190,Fall 2011,University of Hawai`i - West O`ahu,"18-19 yrs"
350,Fall 2011,University of Hawai`i Maui College,<18 yrs
34,Fall 2011,University of Hawai`i - West O`ahu,<18 yrs
227,Fall 2012,University of Hawai`i - West O`ahu,"20-21 yrs"
240,Fall 2012,Honolulu Community College,"45-59 yrs"
1682,Fall 2012,University of Hawai`i at Manoa,"30-34 yrs"
158,Fall 2012,University of Hawai`i at Hilo,"45-59 yrs"
324,Fall 2012,University of Hawai`i at Hilo,"30-34 yrs"
98,Fall 2012,University of Hawai`i - West O`ahu,<18 yrs
58,Fall 2012,Leeward Community College,"60+ yrs"
4475,Fall 2013,University of Hawai`i at Manoa,"22-24 yrs"
365,Fall 2013,Windward Community College,"25-29 yrs"
235,Fall 2013,Windward Community College,"30-34 yrs"
1291,Fall 2013,Kapi`olani Community College,"25-29 yrs"
604,Fall 2013,University of Hawai`i at Hilo,"25-29 yrs"
181,Fall 2013,Kaua`i Community College,"22-24 yrs"
534,Fall 2021,Leeward Community College,"30-34 yrs"
4725,Fall 2021,University of Hawai`i at Manoa,"18-19 yrs"
220,Fall 2019,Kaua`i Community College,"20-21 yrs"
336,Fall 2019,Kaua`i Community College,<18 yrs
363,Fall 2019,Honolulu Community College,<18 yrs
479,Fall 2020,Kapi`olani Community College,"35-44 yrs"
208,Fall 2020,University of Hawai`i at Hilo,"35-44 yrs"
434,Fall 2020,University of Hawai`i at Hilo,"25-29 yrs"
368,Fall 2020,Kaua`i Community College,"18-19 yrs"
32,Fall 2020,University of Hawai`i - West O`ahu,"60+ yrs"
651,Fall 2024,University of Hawai`i at Manoa,<18 yrs
144,Fall 2023,University of Hawai`i at Hilo,"35-44 yrs"
29,Fall 2023,University of Hawai`i - West O`ahu,"60+ yrs"
23,Fall 2023,Kaua`i Community College,"60+ yrs"
1467,Fall 2023,Leeward Community College,"18-19 yrs"
170,Fall 2023,Kaua`i Community College,"20-21 yrs"
530,Fall 2023,University of Hawai`i Maui College,"18-19 yrs"
2,Fall 2023,Kaua`i Community College,No Data
1,Fall 2011,Kapi`olani Community College,No Data
3566,Fall 2010,University of Hawai`i at Manoa,"25-29 yrs"
4225,Fall 2010,University of Hawai`i at Manoa,"20-21 yrs"
1069,Fall 2010,Honolulu Community College,"18-19 yrs"
912,Fall 2010,University of Hawai`i at Hilo,"20-21 yrs"
48,Fall 2010,Windward Community College,"60+ yrs"
930,Fall 2010,Hawai`i Community College,"18-19 yrs"
437,Fall 2010,University of Hawai`i at Manoa,<18 yrs
230,Fall 2011,University of Hawai`i at Hilo,"35-44 yrs"
1670,Fall 2011,University of Hawai`i at Manoa,"30-34 yrs"
761,Fall 2011,University of Hawai`i at Manoa,"45-59 yrs"
387,Fall 2011,Windward Community College,"25-29 yrs"
436,Fall 2011,Windward Community College,"22-24 yrs"
1688,Fall 2011,Leeward Community College,"20-21 yrs"
616,Fall 2011,Windward Community College,"18-19 yrs"
233,Fall 2012,Windward Community College,"35-44 yrs"
885,Fall 2012,University of Hawai`i Maui College,"18-19 yrs"
534,Fall 2013,University of Hawai`i Maui College,"25-29 yrs"
835,Fall 2013,University of Hawai`i at Hilo,"18-19 yrs"
269,Fall 2013,University of Hawai`i Maui College,<18 yrs
239,Fall 2013,Windward Community College,"35-44 yrs"
266,Fall 2013,University of Hawai`i - West O`ahu,"20-21 yrs"
4371,Fall 2021,University of Hawai`i at Manoa,"20-21 yrs"
204,Fall 2021,Windward Community College,"30-34 yrs"
46,Fall 2021,Kaua`i Community College,"45-59 yrs"
445,Fall 2021,Windward Community College,<18 yrs
509,Fall 2021,Leeward Community College,"35-44 yrs"
947,Fall 2022,Kapi`olani Community College,"22-24 yrs"
201,Fall 2022,Hawai`i Community College,"25-29 yrs"
369,Fall 2022,Honolulu Community College,"22-24 yrs"
514,Fall 2022,Kapi`olani Community College,"30-34 yrs"
4317,Fall 2014,University of Hawai`i at Manoa,"20-21 yrs"
719,Fall 2014,Hawai`i Community College,"18-19 yrs"
794,Fall 2014,University of Hawai`i Maui College,"18-19 yrs"
464,Fall 2014,University of Hawai`i Maui College,"25-29 yrs"
63,Fall 2014,Leeward Community College,"60+ yrs"
366,Fall 2015,Honolulu Community College,"35-44 yrs"
163,Fall 2015,Windward Community College,"45-59 yrs"
208,Fall 2015,Honolulu Community College,"45-59 yrs"
373,Fall 2015,Kaua`i Community College,"18-19 yrs"
1,Fall 2015,University of Hawai`i at Manoa,No Data
1444,Fall 2016,Leeward Community College,"20-21 yrs"
489,Fall 2016,Windward Community College,"18-19 yrs"
592,Fall 2016,University of Hawai`i at Hilo,"25-29 yrs"
33,Fall 2016,Kaua`i Community College,"60+ yrs"
47,Fall 2016,Kapi`olani Community College,"60+ yrs"
5,Fall 2016,Leeward Community College,No Data
322,Fall 2017,Hawai`i Community College,"25-29 yrs"
311,Fall 2017,Windward Community College,"25-29 yrs"
238,Fall 2017,University of Hawai`i at Hilo,"35-44 yrs"
1527,Fall 2017,Kapi`olani Community College,"18-19 yrs"
426,Fall 2017,University of Hawai`i Maui College,<18 yrs
147,Fall 2017,Hawai`i Community College,"45-59 yrs"
1242,Fall 2018,University of Hawai`i at Manoa,"35-44 yrs"
171,Fall 2018,Windward Community College,"30-34 yrs"
3462,Fall 2018,University of Hawai`i at Manoa,"22-24 yrs"
693,Fall 2018,Honolulu Community College,"18-19 yrs"
162,Fall 2018,Honolulu Community College,"45-59 yrs"
451,Fall 2019,Kapi`olani Community College,"35-44 yrs"
105,Fall 2019,Windward Community College,"45-59 yrs"
55,Fall 2019,Windward Community College,"60+ yrs"
592,Fall 2019,Honolulu Community College,"25-29 yrs"
374,Fall 2019,Windward Community College,"20-21 yrs"
34,Fall 2019,Hawai`i Community College,"60+ yrs"
27,Fall 2019,Leeward Community College,No Data
134,Fall 2020,Kaua`i Community College,"25-29 yrs"
1200,Fall 2020,Kapi`olani Community College,"20-21 yrs"
279,Fall 2020,University of Hawai`i Maui College,"22-24 yrs"
444,Fall 2020,Hawai`i Community College,<18 yrs
539,Fall 2020,University of Hawai`i at Manoa,<18 yrs
276,Fall 2020,Kapi`olani Community College,"45-59 yrs"
157,Fall 2020,Honolulu Community College,"45-59 yrs"
262,Fall 2020,University of Hawai`i - West O`ahu,"30-34 yrs"
4,Fall 2017,Hawai`i Community College,No Data
3,Fall 2019,University of Hawai`i at Manoa,No Data
30,Fall 2019,Kaua`i Community College,"60+ yrs"
178,Fall 2024,University of Hawai`i - West O`ahu,"45-59 yrs"
153,Fall 2024,University of Hawai`i Maui College,"45-59 yrs"
473,Fall 2024,Kapi`olani Community College,"35-44 yrs"
429,Fall 2024,Kapi`olani Community College,"30-34 yrs"
397,Fall 2024,University of Hawai`i - West O`ahu,"18-19 yrs"
573,Fall 2024,Windward Community College,<18 yrs
27,Fall 2024,University of Hawai`i - West O`ahu,"60+ yrs"
24,Fall 2023,University of Hawai`i at Hilo,"60+ yrs"
263,Fall 2023,University of Hawai`i Maui College,"22-24 yrs"
345,Fall 2023,Windward Community College,"20-21 yrs"
1071,Fall 2023,Leeward Community College,"20-21 yrs"
2,Fall 2020,University of Hawai`i at Hilo,No Data
1,Fall 2012,University of Hawai`i - West O`ahu,No Data
791,Fall 2021,Leeward Community College,<18 yrs
320,Fall 2021,Kaua`i Community College,"18-19 yrs"
66,Fall 2021,Windward Community College,"60+ yrs"
796,Fall 2021,Leeward Community College,"25-29 yrs"
1059,Fall 2022,Leeward Community College,<18 yrs
446,Fall 2022,Hawai`i Community College,<18 yrs
271,Fall 2022,Leeward Community College,"45-59 yrs"
82,Fall 2022,Kaua`i Community College,"25-29 yrs"
38,Fall 2022,Hawai`i Community College,"60+ yrs"
152,Fall 2022,University of Hawai`i Maui College,"30-34 yrs"
228,Fall 2022,University of Hawai`i at Hilo,<18 yrs
602,Fall 2022,University of Hawai`i Maui College,<18 yrs
173,Fall 2022,University of Hawai`i at Hilo,"35-44 yrs"
2,Fall 2010,University of Hawai`i at Manoa,No Data
41,Fall 2013,Kaua`i Community College,"60+ yrs"
3069,Fall 2014,University of Hawai`i at Manoa,"25-29 yrs"
343,Fall 2014,Honolulu Community College,"35-44 yrs"
5,Fall 2014,Leeward Community College,No Data
408,Fall 2014,Hawai`i Community College,"25-29 yrs"
1543,Fall 2014,Kapi`olani Community College,"22-24 yrs"
369,Fall 2014,Honolulu Community College,"30-34 yrs"
243,Fall 2014,Hawai`i Community College,"45-59 yrs"
165,Fall 2014,University of Hawai`i at Hilo,"45-59 yrs"
2,Fall 2014,Honolulu Community College,No Data
203,Fall 2015,Windward Community College,"35-44 yrs"
144,Fall 2015,Kaua`i Community College,"25-29 yrs"
168,Fall 2015,University of Hawai`i - West O`ahu,"45-59 yrs"
703,Fall 2015,University of Hawai`i at Hilo,"18-19 yrs"
107,Fall 2015,University of Hawai`i Maui College,"60+ yrs"
102,Fall 2015,Kaua`i Community College,"30-34 yrs"
187,Fall 2015,University of Hawai`i at Hilo,<18 yrs
544,Fall 2016,Kapi`olani Community College,"30-34 yrs"
159,Fall 2016,University of Hawai`i - West O`ahu,<18 yrs
44,Fall 2017,Hawai`i Community College,"60+ yrs"
260,Fall 2017,University of Hawai`i - West O`ahu,"30-34 yrs"
300,Fall 2017,Hawai`i Community College,"22-24 yrs"
1290,Fall 2017,Kapi`olani Community College,"22-24 yrs"
137,Fall 2017,Windward Community College,"45-59 yrs"
143,Fall 2017,Kaua`i Community College,"25-29 yrs"
225,Fall 2018,University of Hawai`i at Hilo,"30-34 yrs"
315,Fall 2018,Leeward Community College,"45-59 yrs"
326,Fall 2018,University of Hawai`i Maui College,"22-24 yrs"
3868,Fall 2018,University of Hawai`i at Manoa,"20-21 yrs"
497,Fall 2018,Honolulu Community College,"20-21 yrs"
319,Fall 2018,University of Hawai`i - West O`ahu,<18 yrs
491,Fall 2018,Hawai`i Community College,<18 yrs
420,Fall 2018,Windward Community College,<18 yrs
27,Fall 2018,Kaua`i Community College,"60+ yrs"
38,Fall 2018,Honolulu Community College,"60+ yrs"
217,Fall 2019,Hawai`i Community College,"30-34 yrs"
271,Fall 2019,Hawai`i Community College,"25-29 yrs"
565,Fall 2019,University of Hawai`i - West O`ahu,"22-24 yrs"
3963,Fall 2019,University of Hawai`i at Manoa,"20-21 yrs"
683,Fall 2019,Honolulu Community College,"18-19 yrs"
527,Fall 2020,Leeward Community College,"35-44 yrs"
607,Fall 2020,University of Hawai`i at Manoa,"45-59 yrs"
194,Fall 2020,Kaua`i Community College,"20-21 yrs"
254,Fall 2020,Windward Community College,"22-24 yrs"
362,Fall 2020,Honolulu Community College,<18 yrs
405,Fall 2020,University of Hawai`i - West O`ahu,"18-19 yrs"
38,Fall 2020,Windward Community College,"60+ yrs"
36,Fall 2020,Hawai`i Community College,"60+ yrs"
9,Fall 2017,Leeward Community College,No Data
620,Fall 2024,University of Hawai`i at Manoa,"45-59 yrs"
183,Fall 2024,Windward Community College,"45-59 yrs"
1195,Fall 2024,University of Hawai`i at Manoa,"30-34 yrs"
396,Fall 2024,University of Hawai`i - West O`ahu,"25-29 yrs"
925,Fall 2024,Kapi`olani Community College,"22-24 yrs"
218,Fall 2024,Hawai`i Community College,"22-24 yrs"
513,Fall 2024,Hawai`i Community College,<18 yrs
602,Fall 2024,University of Hawai`i Maui College,"18-19 yrs"
135,Fall 2023,Hawai`i Community College,"45-59 yrs"
71,Fall 2023,Kaua`i Community College,"35-44 yrs"
1180,Fall 2023,University of Hawai`i at Manoa,"30-34 yrs"
513,Fall 2023,Kapi`olani Community College,"30-34 yrs"
280,Fall 2023,University of Hawai`i at Hilo,"25-29 yrs"
715,Fall 2023,Leeward Community College,"22-24 yrs"
89,Fall 2023,Kaua`i Community College,"25-29 yrs"
349,Fall 2023,University of Hawai`i Maui College,"20-21 yrs"
1004,Fall 2023,Leeward Community College,<18 yrs
1,Fall 2017,University of Hawai`i at Hilo,No Data
384,Fall 2010,Honolulu Community College,"30-34 yrs"
816,Fall 2010,University of Hawai`i at Manoa,"45-59 yrs"
182,Fall 2010,Kaua`i Community College,"25-29 yrs"
534,Fall 2010,Leeward Community College,"30-34 yrs"
1706,Fall 2010,Leeward Community College,"20-21 yrs"
598,Fall 2010,Hawai`i Community College,"20-21 yrs"
521,Fall 2010,Windward Community College,"20-21 yrs"
649,Fall 2010,Maui College,"20-21 yrs"
410,Fall 2010,Leeward Community College,<18 yrs
134,Fall 2010,Windward Community College,<18 yrs
646,Fall 2011,Kapi`olani Community College,"35-44 yrs"
732,Fall 2011,Honolulu Community College,"22-24 yrs"
774,Fall 2011,Kapi`olani Community College,"30-34 yrs"
334,Fall 2011,Kapi`olani Community College,"45-59 yrs"
410,Fall 2011,University of Hawai`i Maui College,"30-34 yrs"
1880,Fall 2012,Kapi`olani Community College,"20-21 yrs"
4535,Fall 2012,University of Hawai`i at Manoa,"22-24 yrs"
1298,Fall 2012,Leeward Community College,"22-24 yrs"
986,Fall 2012,Honolulu Community College,"18-19 yrs"
632,Fall 2012,University of Hawai`i Maui College,"25-29 yrs"
972,Fall 2012,Leeward Community College,"25-29 yrs"
583,Fall 2012,University of Hawai`i Maui College,"22-24 yrs"
275,Fall 2012,Hawai`i Community College,"45-59 yrs"
1959,Fall 2012,Kapi`olani Community College,"18-19 yrs"
382,Fall 2012,Kaua`i Community College,"18-19 yrs"
184,Fall 2012,Kaua`i Community College,"22-24 yrs"
111,Fall 2013,Kaua`i Community College,"30-34 yrs"
445,Fall 2013,Leeward Community College,<18 yrs
177,Fall 2013,Kaua`i Community College,"25-29 yrs"
953,Fall 2013,Leeward Community College,"25-29 yrs"
456,Fall 2013,University of Hawai`i - West O`ahu,"18-19 yrs"
353,Fall 2021,University of Hawai`i - West O`ahu,"18-19 yrs"
559,Fall 2021,University of Hawai`i - West O`ahu,"20-21 yrs"
1481,Fall 2021,Leeward Community College,"18-19 yrs"
188,Fall 2021,Kaua`i Community College,"20-21 yrs"
310,Fall 2022,University of Hawai`i at Hilo,"25-29 yrs"
602,Fall 2022,University of Hawai`i at Manoa,"45-59 yrs"
746,Fall 2022,Leeward Community College,"22-24 yrs"
238,Fall 2022,University of Hawai`i Maui College,"25-29 yrs"
428,Fall 2022,Honolulu Community College,"25-29 yrs"
158,Fall 2022,Windward Community College,"30-34 yrs"
327,Fall 2022,University of Hawai`i Maui College,"20-21 yrs"
446,Fall 2022,Leeward Community College,"30-34 yrs"
1622,Fall 2014,University of Hawai`i at Manoa,"30-34 yrs"
372,Fall 2014,University of Hawai`i - West O`ahu,"20-21 yrs"
1227,Fall 2014,Leeward Community College,"22-24 yrs"
539,Fall 2014,Leeward Community College,"30-34 yrs"
188,Fall 2014,Windward Community College,"45-59 yrs"
280,Fall 2015,Kapi`olani Community College,"45-59 yrs"
308,Fall 2015,University of Hawai`i Maui College,"30-34 yrs"
804,Fall 2015,University of Hawai`i Maui College,"18-19 yrs"
187,Fall 2015,Kaua`i Community College,"20-21 yrs"
810,Fall 2015,Honolulu Community College,"18-19 yrs"
491,Fall 2015,Hawai`i Community College,<18 yrs
693,Fall 2016,University of Hawai`i at Hilo,"18-19 yrs"
503,Fall 2016,Leeward Community College,"35-44 yrs"
205,Fall 2016,Windward Community College,<18 yrs
227,Fall 2016,University of Hawai`i at Hilo,"35-44 yrs"
319,Fall 2016,University of Hawai`i - West O`ahu,"35-44 yrs"
48,Fall 2016,Windward Community College,"60+ yrs"
150,Fall 2016,University of Hawai`i at Hilo,"45-59 yrs"
169,Fall 2016,Hawai`i Community College,"45-59 yrs"
84,Fall 2016,Kaua`i Community College,"30-34 yrs"
371,Fall 2016,Windward Community College,"25-29 yrs"
462,Fall 2017,Leeward Community College,"30-34 yrs"
3630,Fall 2017,University of Hawai`i at Manoa,"22-24 yrs"
306,Fall 2017,Leeward Community College,"45-59 yrs"
38,Fall 2017,Windward Community College,"60+ yrs"
250,Fall 2018,University of Hawai`i Maui College,"35-44 yrs"
314,Fall 2018,Windward Community College,"25-29 yrs"
730,Fall 2018,University of Hawai`i at Hilo,"20-21 yrs"
3929,Fall 2018,University of Hawai`i at Manoa,"18-19 yrs"
126,Fall 2018,Windward Community College,"45-59 yrs"
132,Fall 2021,Honolulu Community College,"45-59 yrs"
27,Fall 2022,Kaua`i Community College,"60+ yrs"
69,Fall 2019,University of Hawai`i Maui College,"60+ yrs"
361,Fall 2019,Hawai`i Community College,"20-21 yrs"
488,Fall 2019,University of Hawai`i at Manoa,<18 yrs
548,Fall 2019,Windward Community College,<18 yrs
4,Fall 2019,University of Hawai`i - West O`ahu,No Data
306,Fall 2020,University of Hawai`i - West O`ahu,"35-44 yrs"
206,Fall 2020,Hawai`i Community College,"35-44 yrs"
311,Fall 2020,Honolulu Community College,"35-44 yrs"
347,Fall 2020,Leeward Community College,"45-59 yrs"
330,Fall 2020,Hawai`i Community College,"20-21 yrs"
711,Fall 2020,University of Hawai`i at Hilo,"20-21 yrs"
536,Fall 2020,Windward Community College,"18-19 yrs"
701,Fall 2020,Honolulu Community College,"18-19 yrs"
